plataforma;jogo;url;nota;
PC;World of Warcraft: Wrath of the Lich King;https://www.metacritic.com/game/pc/world-of-warcraft-wrath-of-the-lich-king;91;
PC;Baldur's Gate;https://www.metacritic.com/game/pc/baldurs-gate;91;
PC;F1 Challenge '99-'02;https://www.metacritic.com/game/pc/f1-challenge-99-02;91;
PC;Overwatch;https://www.metacritic.com/game/pc/overwatch;91;
PC;Deus Ex: Human Revolution - Director's Cut;https://www.metacritic.com/game/pc/deus-ex-human-revolution---directors-cut;91;
PC;Mission: It's Complicated;https://www.metacritic.com/game/pc/mission-its-complicated;91;
PC;Halo: The Master Chief Collection - Halo 3: ODST;https://www.metacritic.com/game/pc/halo-the-master-chief-collection---halo-3-odst;91;
PC;FreeSpace 2;https://www.metacritic.com/game/pc/freespace-2;91;
PC;IL-2 Sturmovik;https://www.metacritic.com/game/pc/il-2-sturmovik;91;
PC;Mortal Kombat 11 Ultimate;https://www.metacritic.com/game/pc/mortal-kombat-11-ultimate;91;
